14
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
0	3550	30	40	6789	444555
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
Samsung	4000	60	70	50000	4000000
Epson	3550	30	40	6789	444555
Epson	3550	30	40	6789	444555
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
0	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
0	3550	30	40	6789	444555
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
0	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
Samsung	4000	60	70	50000	4000000
Epson	3550	30	40	6789	444555
0	3550	30	40	6789	444555
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
0	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
Epson	3550	30	40	6789	444555
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
Epson	3550	30	40	6789	444555
Samsung	4000	60	70	50000	4000000
Samsung	4000	60	70	50000	4000000
Epson	3550	30	40	6789	444555
Epson	3550	30	40	6789	444555
Epson	3550	30	40	6789	444555
0	4000	60	70	50000	4000000
0	3550	30	40	6789	444555
0	4000	60	70	50000	4000000
